"SourceRelativePath","DestinationRelativePath","SizeBytes","SHA256","Disposition"
"arduino_servo_control.ino","SRC\Hardware\arduino_servo_control.ino","1203","0AB4BA8AD1880567B30D1049FCE0648EDDCC120D58CF4FAFE8BC237A24BC72C8","Copied"
"Edge Detection\D455f\box_tracker.py","SRC\Detection_App\box_tracker.py","20419","0A99C6199FE747977B669B7CEE239AD1CD31072FFD2CBA39FA8653A326E9B881","Copied"
"Edge Detection\D455f\camera_test.py","SRC\Detection_App\camera_test.py","28492","41374EB61E30925FA8F63EAC42555A6BDF6D74A7714131DDFF6477332898E274","Copied"
"Edge Detection\D455f\camera.py","SRC\Detection_App\camera.py","18792","C6E379D8981D3A046A2B6EA6BD8F1F6E2283C9C19049EFDB52B7A0288C9179FB","Copied"
"Edge Detection\D455f\detection.py","SRC\Detection_App\detection.py","22741","FE25BD7DAD4B21CE8AD54A6AB2BBB81C2E3B143E705BE314AC85F5DC38469869","Copied"
"Edge Detection\D455f\gui.py","SRC\Detection_App\gui.py","33422","DCD85B9DA684B909C2DA4FB0569D94C12259F39AF08CD799E48ECADDC2C0FC62","Copied"
"Edge Detection\D455f\main.py","SRC\Detection_App\main.py","101535","0B4CFB825199C4926F0FB8964AE3CDC085B6BE1F354D057AC388D74823B06694","Copied"
"Edge Detection\D455f\measurement.py","SRC\Detection_App\measurement.py","5545","BD1ABA529ECCD43B283554825BF935F1C6E38E1E40B25F61488149B98FD93C13","Copied"
"Edge Detection\D455f\README.md","","4440","B0C311B2EB35A0FB166B3B5D07912A46FAD20F65293D3EB376BA128B32EDDF08","Analyzed and incorporated into the detailed root README.md"
"Edge Detection\D455f\realsense_measurements_1789793501.csv","Screenshot\Screenshots\Measurement_Sample.csv","330","0ADD89ABB78204C8C27644483D166904D363E5F9571E3CEB2FBAEE36538BE8E8","Copied"
"Edge Detection\D455f\requirements.txt","","185","E0D136A088032D5C031CB6A59F82F4BAAF73419AF29E1DC41DEF9E73600A332A","Merged into generated root requirements.txt"
"Edge Detection\D455f\run_camera_test.bat","SRC\Detection_App\run_camera_test.bat","475","34EFA095E5F698C9E221FC6801D98586DCF20D4A9144030986A8DE433DC82D7F","Copied; launcher updated to use repository-level virtual environment"
"Edge Detection\D455f\run_gui.bat","SRC\Detection_App\run_gui.bat","480","CB9D6EF282AF6E2A3BCE5F57AC692DEF7095AE84143158F07347F6ED4B1BCD99","Copied; launcher updated to use repository-level virtual environment"
"Edge Detection\D455f\test_conveyor_box.py","SRC\Detection_App\test_conveyor_box.py","22623","B9E917AFB5503A21785E48070426271F4FB0488D2CF7B7580AD495F00FA3E301","Copied"
"Edge Detection\D455f\test_detection.py","SRC\Detection_App\test_detection.py","2935","09C002A7B890EAE624DCF601360580ED9C90FF9009898C2DF9F532485DEFC3C7","Copied"
"Edge Detection\D455f\test_onion_detection.py","SRC\Detection_App\test_onion_detection.py","12251","B6F756603980301582C6332EB96657952914AC2E8FE31408D5002807D5F02DF5","Copied"
"main.py","SRC\Classification_App\main.py","74044","5E3182A876930B7F2C22EBD1984A47399C1614C7DE18C8B6C036DF48A5510650","Copied; repository paths and application icon handling adjusted"
"New smartlab logo.png","SRC\Classification_App\assets\SMART_Lab.png; SRC\Logo\SMART_Lab.png","1680113","182AE55D95A7622ADEB32ECEEBCB5B4A40E421F7DC85EEECB1FF5D84CED7826B","Copied"
"requirements.txt","","157","F58681562E9C2ED0822F4351FCEF170FDF7E367CFD43019DB7A7754517374861","Merged into generated root requirements.txt"
"Weight Files\convnexttiny_model.weights (1).h5","Model\Classification\ConvNeXtTiny\convnexttiny_model.weights.h5","336782604","34DC0BB70FD24CA1B8824527EE10300FC06B40ABCE5D5C0467CA302C5698CEBF","Copied"
"Weight Files\effnetv2b0model.weights.h5","Model\Classification\EfficientNetV2B0\effnetv2b0model.weights.h5","74861980","0410EB3F92E7328D7C15752526563B05B4A9F17C37C4C05638244DE1257D3318","Copied"
"Weight Files\onion_densenet121_best_macro_f1.weights.h5","Model\Classification\DenseNet121\onion_densenet121_best_macro_f1.weights.h5","87525308","061F43A738D9BC05E5060E82EAE95384C2D270742A2C9955802A7C3E7E82C9D9","Copied"
"Weight Files\onion_stacking_meta_classifier_best.keras","Model\Classification\Stacking\onion_stacking_meta_classifier_best.keras","33291","8157AC186620E8B03EFC537BED4D3E1B13D3AAE48ECF6EEF8731744B1CAB3C8D","Copied"
"Weight Files\resnet_model.weights.h5","Model\Classification\ResNet50V2\resnet_model.weights.h5","289003476","268A326E088A13EE41A6EE313CF279872E6E551B91A00EB914CDAFC1C303EC6E","Copied"
"Weight Files\xception_model.weights.h5","Model\Classification\Xception\xception_model.weights.h5","256285732","EE1EB41B83B95797FEE173F333104FD6A66A6BA0AA155DB561ADC2AABD73C2C5","Copied"
"Weight Files\Xception\onion_kaggle_xception_300epochs_balanced.ipynb","Model\Classification\Xception\onion_kaggle_xception_300epochs_balanced.ipynb","40381","E134957F899ACCFE9BEFF6A79068AF85D600993291EDE8E60215A6C96F247396","Copied"
"Weight Files\Xception\xception_model.weights.h5","","256285732","EE1EB41B83B95797FEE173F333104FD6A66A6BA0AA155DB561ADC2AABD73C2C5","Duplicate omitted; SHA-256 matches the retained Xception checkpoint"
"XAI Gradcam\Integrated_GradCAM\integrated_gradcam_130.png","Screenshot\Screenshots\XAI_GradCAM\integrated_gradcam_130.png","876844","B0B834C38C6A3851AEC98EFC966D08A026A1E4C6423A8F44A51A614205AB23D1","Copied"
"XAI Gradcam\Integrated_GradCAM\integrated_gradcam_51.png","Screenshot\Screenshots\XAI_GradCAM\integrated_gradcam_51.png","674621","B018952E9D5B47DBCA03A14E61BDAA499D2967F80CDFB340F66BE396618E3BDF","Copied"
"XAI Gradcam\Integrated_GradCAM\integrated_gradcam_68.png","Screenshot\Screenshots\XAI_GradCAM\integrated_gradcam_68.png","651944","BF8A7EC88169CCFC676F4E23EDA4F78504CA537D2D2C687AAB8F9CBE20772A96","Copied"
